instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
GBP_USD,2026-01-05 03:00:00+00:00,2026-01-05 13:00:00+00:00,LONG,1.34158,1.34271,1.34271,132743,150.0,117.1872,TRAIL_SL,50117.1872
USD_JPY,2026-01-05 03:00:00+00:00,2026-01-05 08:00:00+00:00,SHORT,157.234,156.833,157.16764,454927,150.0,908.738,EXIT_MODEL,51025.9252
AUD_USD,2026-01-05 04:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,0.66716,0.67172,0.66973,58366,150.0,207.9289,EXIT_MODEL,51233.8541
DE30_EUR,2026-01-05 06:00:00+00:00,2026-01-05 08:00:00+00:00,LONG,24683.2,24696.2665,24696.2665,13,150.0,145.1833,TRAIL_SL,51379.0374
USD_CHF,2026-01-05 09:00:00+00:00,2026-01-05 18:00:00+00:00,SHORT,0.7964,0.79168,0.79471,90479,150.0,421.4346,EXIT_MODEL,51800.472
SPX500_USD,2026-01-05 12:00:00+00:00,2026-01-05 16:00:00+00:00,LONG,6885.4,6924.2,6893.95889,22,150.0,666.875,EXIT_MODEL,52467.347
EUR_USD,2026-01-05 13:00:00+00:00,2026-01-05 18:00:00+00:00,LONG,1.16746,1.17251,1.16895,100671,150.0,397.1786,EXIT_MODEL,52864.5256
NAS100_USD,2026-01-05 15:00:00+00:00,2026-01-05 20:00:00+00:00,SHORT,25503.0,25434.4,25604.9035,2,150.0,107.1875,EOD,52971.7131
AUD_USD,2026-01-06 00:00:00+00:00,2026-01-06 06:00:00+00:00,LONG,0.67102,0.67368,0.67206,144231,150.0,299.73,EXIT_MODEL,53271.4431
USD_CHF,2026-01-06 02:00:00+00:00,2026-01-06 15:00:00+00:00,LONG,0.7908,0.79486,0.79203,123442,150.0,492.5932,EXIT_MODEL,53764.0363
GBP_USD,2026-01-06 03:00:00+00:00,2026-01-06 15:00:00+00:00,SHORT,1.3559,1.35077,1.35434,96154,150.0,385.3672,EXIT_MODEL,54149.4035
